Mozambique,MOZ,30783688.0
Mauritania,MRT,4600131.0
Mauritius,MUS,1266014.0
Malawi,MWI,19533888.0
Malaysia,MYS,33889558.0
North America,NAC,369670740.0
Namibia,NAM,2728762.0
New Caledonia,NCL,284176.0
Niger,NER,23717613.0
Nigeria,NGA,213996181.0
Nicaragua,NIC,6565267.0
Netherlands,NLD,17441500.0
Norway,NOR,5379475.0
Nepal,NPL,28966574.0
Nauru,NRU,11643.0
New Zealand,NZL,5090200.0
OECD members,OED,1369327995.0
Oman,OMN,4522497.0
Other small states,OSS,12417333.0
Pakistan,PAK,235001746.0
Panama,PAN,4293261.0
Peru,PER,32838579.0
Philippines,PHL,112081264.0
Palau,PLW,17792.0
Papua New Guinea,PNG,9815746.0
Poland,POL,37515748.0
Pre-demographic dividend,PRE,998624261.0
Puerto Rico (US),PRI,3281590.0
"Korea, Dem. People's Rep.",PRK,26136312.0
Portugal,PRT,10297081.0
Paraguay,PRY,6603739.0
West Bank and Gaza,PSE,4803269.0
Pacific island small states,PSS,2595522.0
Post-demographic dividend,PST,1117025276.0
French Polynesia,PYF,279209.0
Qatar,QAT,2794148.0
Romania,ROU,19265250.0
Russian Federation,RUS,145245148.0
Rwanda,RWA,13065837.0
South Asia,SAS,1621073417.0
Saudi Arabia,SAU,31552510.0
Sudan,SDN,46789231.0
Senegal,SEN,16789219.0
Singapore,SGP,5685807.0
Solomon Islands,SLB,744498.0
Sierra Leone,SLE,7912558.0
El Salvador,SLV,6234673.0
San Marino,SMR,34770.0
"Somalia, Fed. Rep.",SOM,16651191.0
Serbia,SRB,6899126.0
Sub-Saharan Africa (excluding high income),SSA,1049999318.0
South Sudan,SSD,10698467.0
Sub-Saharan Africa,SSF,1169015451.0
Small states,SST,19472157.0
Sao Tome and Principe,STP,217435.0
Suriname,SUR,612317.0
Slovak Republic,SVK,5458827.0
Slovenia,SVN,2102419.0
Sweden,SWE,10353442.0
Eswatini,SWZ,1192729.0
Sint Maarten (Dutch part),SXM,41008.0
Seychelles,SYC,98462.0
Syrian Arab Republic,SYR,21049429.0
